Timestamp,LineID,Parameter,GuideWord,Model,PromptTokens,CompletionTokens,TotalTokens
2026-02-12 04:41:49,L1,Flow,More,gpt-5.1-2025-11-13,4462,7834,12296
2026-02-12 04:45:08,L1,Flow,No,gpt-5.1-2025-11-13,4462,9828,14290
2026-02-12 04:46:51,L1,Flow,Reverse,gpt-5.1-2025-11-13,4462,7549,12011
2026-02-12 04:49:16,L1,Pressure,More,gpt-5.1-2025-11-13,4462,8162,12624
2026-02-12 04:51:43,L1,Temperature,More,gpt-5.1-2025-11-13,4462,8703,13165
2026-02-12 04:54:07,L1,Level,More,gpt-5.1-2025-11-13,4462,8912,13374
2026-02-12 04:56:12,L1,Level,Less,gpt-5.1-2025-11-13,4462,8983,13445
2026-02-12 04:58:11,L1,Level,No,gpt-5.1-2025-11-13,4462,8417,12879
2026-02-12 05:00:33,L2,Flow,No,gpt-5.1-2025-11-13,4463,8574,13037
2026-02-12 05:03:44,L3,Flow,No,gpt-5.1-2025-11-13,4469,8979,13448
2026-02-12 05:06:20,L3,Pressure,More,gpt-5.1-2025-11-13,4469,8886,13355
2026-02-12 05:09:31,L3,Level,Less,gpt-5.1-2025-11-13,4469,8736,13205
2026-02-12 05:12:11,L8,Flow,More,gpt-5.1-2025-11-13,4455,8377,12832
2026-02-12 05:14:30,L8,Flow,No,gpt-5.1-2025-11-13,4455,8785,13240
2026-02-12 05:16:32,L8,Flow,Less,gpt-5.1-2025-11-13,4455,8361,12816
2026-02-12 05:18:35,L8,Pressure,More,gpt-5.1-2025-11-13,4455,8916,13371
2026-02-12 05:20:34,L8,Temperature,More,gpt-5.1-2025-11-13,4455,10251,14706
2026-02-12 05:22:07,L8,Composition,Other than,gpt-5.1-2025-11-13,4456,8581,13037
